Income,Tenure,FICO,Origination,Amount,Grade
75000,10+ years,717,May-27-2019,30000,D
119016,10+ years,667,Apr-24-2019,9550,C
38000,3 years,707,May-05-2019,7500,B
32000,0 years,677,Apr-15-2019,11200,D
101198,0 years,752,May-31-2019,4250,A
60000,10+ years,767,May-20-2019,8500,B
47000,2 years,n/a,Jun-01-2019,14000,C
150057,4 years,772,Apr-26-2019,40000,B
72000,6 years,702,Jun-09-2019,6000,C
105005,10+ years,742,Jun-27-2019,n/a,B
35000,4 years,712,Apr-06-2019,9000,A
80000,10+ years,727,May-12-2019,12500,A
80000,10+ years,,Apr-18-2019,2500,B
76080,10+ years,682,Jun-29-2019,9500,A
40000,10+ years,797,Jun-19-2019,26575,C
65000,8 years,672,Apr-05-2019,6000,C
325084,10+ years,667,Jun-13-2019,6025,B
73000,3 years,707,Apr-09-2019,16000,C
n/a,10+ years,837,May-12-2019,9075,A
190031,2 years,682,May-17-2019,4500,B
128276,10+ years,797,Apr-08-2019,6000,A
65000,1 year,712,Apr-09-2019,10000,A
75000,10+ years,702,May-24-2019,5000,C
83000,10+ years,707,May-17-2019,6500,B
53000,10+ years,707,Jun-12-2019,15000,D
52000,10+ years,667,Jun-22-2019,18000,C
50000,2 years,757,May-16-2019,10000,A
58000,9 years,727,May-17-2019,5100,B
140016,0 years,687,Jun-13-2019,40000,B
70000,6 years,687,Apr-16-2019,18000,A
60000,10+ years,682,Jun-25-2019,4000,A
185065,7 years,752,May-20-2019,5000,B
67000,5 years,692,Apr-10-2019,4000,A
75000,3 years,687,Jun-10-2019,14275,C
65000,3 years,667,Jun-13-2019,n/a,D
140005,1 year,702,May-05-2019,4800,B
180057,10+ years,812,Apr-02-2019,18825,A
98000,10+ years,677,Jun-10-2019,25000,D
62000,10+ years,767,Apr-16-2019,7500,A
42000,0 years,797,Jun-09-2019,5000,A
212001,2 years,742,Apr-01-2019,40000,B
102052,2 years,812,May-20-2019,14000,A
138079,10+ years,767,May-20-2019,40000,A
115325,10+ years,717,Apr-17-2019,25525,A
100059,10+ years,767,Jun-20-2019,13300,B
65000,10+ years,742,May-08-2019,10000,B
85000,10+ years,717,May-21-2019,40000,C
120099,10+ years,787,May-10-2019,3500,A
120034,3 years,767,Jun-02-2019,21050,B
36000,10+ years,752,Apr-05-2019,2400,B
65000,0 years,702,Apr-25-2019,16000,B
143089,10+ years,727,Jun-29-2019,16000,B
75000,0 years,747,Jun-29-2019,2400,D
45000,4 years,797,Jun-30-2019,2000,A
70000,1 year,707,May-25-2019,30000,D
112349,1 year,702,May-14-2019,3500,C
150020,10+ years,712,Apr-26-2019,3250,A
65000,4 years,667,Apr-10-2019,2200,D
n/a,4 years,717,Jun-13-2019,2000,A
65000,10+ years,722,n/a,5000,A
90000,10+ years,682,Apr-09-2019,7650,C
66000,7 years,782,Jun-30-2019,20000,C
8000,0 years,752,Apr-09-2019,4000,A
75000,1 year,697,Jun-04-2019,5000,B
133041,10+ years,782,Jun-05-2019,15000,A
40000,0 years,722,Jun-27-2019,9500,A
80000,4 years,672,Apr-29-2019,12000,B
85000,10+ years,662,Jun-08-2019,20000,D
128005,2 years,727,Apr-15-2019,35000,D
140008,9 years,687,Jun-21-2019,5000,B
110042,9 years,"NA",Apr-28-2019,36725,A
120018,5 years,,Jun-24-2019,35000,C
118021,6 years,737,May-15-2019,4000,C
160041,10+ years,702,Jun-13-2019,12000,B
